Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,First Close,YTD Return,Country
2025-04-16,7758.89990234375,7819.10009765625,7757.39990234375,7819.10009765625,679500,0.0,0.0,^AXJO,8201.2001953125,-4.659,AXJO (Australia)
2025-04-21,7819.10009765625,7822.39990234375,7745.10009765625,7816.7001953125,653900,0.0,0.0,^AXJO,8201.2001953125,-4.688,AXJO (Australia)
2025-04-22,7816.7001953125,7961.7998046875,7816.7001953125,7920.5,1008200,0.0,0.0,^AXJO,8201.2001953125,-3.423,AXJO (Australia)
2025-04-23,7920.5,7983.7998046875,7920.5,7968.2001953125,639100,0.0,0.0,^AXJO,8201.2001953125,-2.841,AXJO (Australia)
2025-04-27,7968.2001953125,8051.7998046875,7968.2001953125,7997.10009765625,769000,0.0,0.0,^AXJO,8201.2001953125,-2.489,AXJO (Australia)
2025-04-28,7997.10009765625,8076.7001953125,7997.10009765625,8070.60009765625,710800,0.0,0.0,^AXJO,8201.2001953125,-1.592,AXJO (Australia)
2025-04-29,8070.60009765625,8126.2001953125,8069.10009765625,8126.2001953125,889500,0.0,0.0,^AXJO,8201.2001953125,-0.915,AXJO (Australia)
2025-04-30,8126.2001953125,8152.5,8109.7001953125,8145.60009765625,676700,0.0,0.0,^AXJO,8201.2001953125,-0.678,AXJO (Australia)
2025-05-01,8145.60009765625,8239.599609375,8129.7998046875,8238.0,772200,0.0,0.0,^AXJO,8201.2001953125,0.449,AXJO (Australia)
2025-05-04,8238.0,8240.5,8157.7001953125,8157.7998046875,637000,0.0,0.0,^AXJO,8201.2001953125,-0.529,AXJO (Australia)
2025-05-05,8157.7001953125,8168.89990234375,8138.39990234375,8151.39990234375,609600,0.0,0.0,^AXJO,8201.2001953125,-0.607,AXJO (Australia)
2025-05-06,8151.39990234375,8191.39990234375,8151.39990234375,8178.2998046875,886600,0.0,0.0,^AXJO,8201.2001953125,-0.279,AXJO (Australia)
2025-05-07,8178.2998046875,8211.2001953125,8154.7998046875,8191.7001953125,763100,0.0,0.0,^AXJO,8201.2001953125,-0.116,AXJO (Australia)
